id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
eca02c1eb3884d4b8f17f8581d0557d0,2b71eabaeec7497bb7100cb19fdc03f6,vid-12.mp4,400,ultrafast,2024-12-17 09:01:18.915280,2024-12-17 09:04:41.010970,2024-12-17 09:04:41.023506,2024-12-17 09:04:41.354596,2024-12-17 09:05:43.619985,2024-12-17 09:05:43.718479,tc-vm-5,compute2,0 days 00:03:22.095690,0 days 00:00:00.012536,0 days 00:00:00.331090,0 days 00:01:02.265389,0 days 00:00:00.098494,1.99,2.35,2.81,5.8,5.94,6.23
8e27033309224f4d8eebf31e76de3f85,2b71eabaeec7497bb7100cb19fdc03f6,vid-13.mp4,700,fast,2024-12-17 09:01:21.917808,2024-12-17 09:05:43.742892,2024-12-17 09:05:43.754910,2024-12-17 09:05:44.486948,2024-12-17 09:14:01.221209,2024-12-17 09:14:01.370608,tc-vm-5,compute2,0 days 00:04:21.825084,0 days 00:00:00.012018,0 days 00:00:00.732038,0 days 00:08:16.734261,0 days 00:00:00.149399,1.93,2.07,2.49,6.22,6.28,6.29
03b1134d26914e46904784ad568c572d,2b71eabaeec7497bb7100cb19fdc03f6,vid-14.mp4,500,ultrafast,2024-12-17 09:01:23.915879,2024-12-17 09:06:49.790192,2024-12-17 09:06:49.798124,2024-12-17 09:06:50.295933,2024-12-17 09:07:47.477693,2024-12-17 09:07:47.563080,tc-vm-4,compute3,0 days 00:05:25.874313,0 days 00:00:00.007932,0 days 00:00:00.497809,0 days 00:00:57.181760,0 days 00:00:00.085387,2.01,2.01,2.02,5.36,5.36,5.37
c8b039a776b94588a2ed5eb371fdd67f,2b71eabaeec7497bb7100cb19fdc03f6,vid-15.mp4,600,fast,2024-12-17 09:01:25.919828,2024-12-17 09:07:47.600586,2024-12-17 09:07:47.622189,2024-12-17 09:07:48.808857,2024-12-17 09:17:01.606329,2024-12-17 09:17:01.776738,tc-vm-4,compute3,0 days 00:06:21.680758,0 days 00:00:00.021603,0 days 00:00:01.186668,0 days 00:09:12.797472,0 days 00:00:00.170409,1.32,2.03,2.49,3.69,5.72,5.9
ff36944c05fe455e9290c3faa9f00b1d,2b71eabaeec7497bb7100cb19fdc03f6,vid-16.mp4,800,fast,2024-12-17 09:02:05.968977,2024-12-17 09:08:14.719211,2024-12-17 09:08:14.730883,2024-12-17 09:08:15.012546,2024-12-17 09:10:17.631931,2024-12-17 09:10:17.722727,tc-vm-3,compute1,0 days 00:06:08.750234,0 days 00:00:00.011672,0 days 00:00:00.281663,0 days 00:02:02.619385,0 days 00:00:00.090796,1.02,1.36,1.72,4.3,4.32,4.33
c511a873f9f84ed0b0c96427665b09ff,2b71eabaeec7497bb7100cb19fdc03f6,vid-17.mp4,450,ultrafast,2024-12-17 09:02:08.920807,2024-12-17 09:08:35.279003,2024-12-17 09:08:35.293916,2024-12-17 09:08:35.912752,2024-12-17 09:12:04.357948,2024-12-17 09:12:04.450400,tc-vm-2,compute2,0 days 00:06:26.358196,0 days 00:00:00.014913,0 days 00:00:00.618836,0 days 00:03:28.445196,0 days 00:00:00.092452,2.0,2.01,2.04,6.28,6.28,6.28
44ddfb8ccc9f4ce7a8671274220b9d46,2b71eabaeec7497bb7100cb19fdc03f6,vid-18.mp4,500,ultrafast,2024-12-17 09:02:10.916944,2024-12-17 09:10:17.746288,2024-12-17 09:10:17.754406,2024-12-17 09:10:18.210064,2024-12-17 09:11:13.880223,2024-12-17 09:11:13.967967,tc-vm-3,compute1,0 days 00:08:06.829344,0 days 00:00:00.008118,0 days 00:00:00.455658,0 days 00:00:55.670159,0 days 00:00:00.087744,1.16,1.24,1.34,4.32,4.32,4.33
fa02f56b88b2450e996acd5b33fedfe0,2b71eabaeec7497bb7100cb19fdc03f6,vid-19.mp4,750,fast,2024-12-17 09:02:12.916842,2024-12-17 09:11:13.992818,2024-12-17 09:11:14.004754,2024-12-17 09:11:14.869584,2024-12-17 09:19:43.733444,2024-12-17 09:19:43.893644,tc-vm-3,compute1,0 days 00:09:01.075976,0 days 00:00:00.011936,0 days 00:00:00.864830,0 days 00:08:28.863860,0 days 00:00:00.160200,1.0,1.02,1.12,4.31,4.33,4.35
08c4716d672f4de7aa60cb29d8e4757a,2b71eabaeec7497bb7100cb19fdc03f6,vid-20.mp4,600,fast,2024-12-17 09:02:15.911150,2024-12-17 09:12:04.471521,2024-12-17 09:12:04.482883,2024-12-17 09:12:04.777297,2024-12-17 09:12:24.760879,2024-12-17 09:12:24.818756,tc-vm-2,compute2,0 days 00:09:48.560371,0 days 00:00:00.011362,0 days 00:00:00.294414,0 days 00:00:19.983582,0 days 00:00:00.057877,2.0,2.0,2.0,6.28,6.28,6.28
56c51d1debb64f50b63d95e8989eac4c,2b71eabaeec7497bb7100cb19fdc03f6,vid-21.mp4,400,ultrafast,2024-12-17 09:02:50.946137,2024-12-17 09:12:24.844520,2024-12-17 09:12:24.852949,2024-12-17 09:12:25.089116,2024-12-17 09:12:57.265898,2024-12-17 09:12:57.314601,tc-vm-2,compute2,0 days 00:09:33.898383,0 days 00:00:00.008429,0 days 00:00:00.236167,0 days 00:00:32.176782,0 days 00:00:00.048703,1.93,1.94,1.95,6.28,6.28,6.28
